*************************************************
   ChampSim Multicore Out-of-Order Simulator
   Last compiled: Apr 16 2025 16:07:36
*************************************************
parsing config file: /pref/Pythia/config/coop_pythia.ini
unable to parse section: , name: bool coop_rl_enable, value: true
unable to parse section: , name: coop_enable_adaptive_alpha, value: true

trace_0 /pref/Pythia/CLOUD9/traces/cloud9_phase3_core0.trace.xz
Heartbeat CPU  3 instructions:   21000001 cycles:   10915685 heartbeat IPC: 1.92191 cumulative IPC: 1.92384 (Simulation time: 0 hr 2 min 12 sec) 
Heartbeat CPU  1 instructions:   18000000 cycles:   10955575 heartbeat IPC: 1.74126 cumulative IPC: 1.64300 (Simulation time: 0 hr 2 min 13 sec) 
Heartbeat CPU  0 instructions:   23000001 cycles:   11212149 heartbeat IPC: 2.13023 cumulative IPC: 2.05135 (Simulation time: 0 hr 2 min 16 sec) 
Heartbeat CPU  2 instructions:   19000000 cycles:   11278719 heartbeat IPC: 1.62543 cumulative IPC: 1.68459 (Simulation time: 0 hr 2 min 17 sec) 
Heartbeat CPU  3 instructions:   22000000 cycles:   11433916 heartbeat IPC: 1.92964 cumulative IPC: 1.92410 (Simulation time: 0 hr 2 min 18 sec) 
Heartbeat CPU  1 instructions:   19000001 cycles:   11460424 heartbeat IPC: 1.98079 cumulative IPC: 1.65788 (Simulation time: 0 hr 2 min 19 sec) 
Heartbeat CPU  0 instructions:   24000000 cycles:   11675950 heartbeat IPC: 2.15610 cumulative IPC: 2.05551 (Simulation time: 0 hr 2 min 21 sec) 
Heartbeat CPU  2 instructions:   20000000 cycles:   11871191 heartbeat IPC: 1.68784 cumulative IPC: 1.68475 (Simulation time: 0 hr 2 min 24 sec) 
Heartbeat CPU  3 instructions:   23000000 cycles:   11949219 heartbeat IPC: 1.94061 cumulative IPC: 1.92481 (Simulation time: 0 hr 2 min 25 sec) 
Heartbeat CPU  1 instructions:   20000000 cycles:   11979158 heartbeat IPC: 1.92777 cumulative IPC: 1.66957 (Simulation time: 0 hr 2 min 25 sec) 
Heartbeat CPU  0 instructions:   25000001 cycles:   12142165 heartbeat IPC: 2.14494 cumulative IPC: 2.05894 (Simulation time: 0 hr 2 min 27 sec) 
Heartbeat CPU  3 instructions:   24000000 cycles:   12459185 heartbeat IPC: 1.96092 cumulative IPC: 1.92629 (Simulation time: 0 hr 2 min 31 sec) 
Heartbeat CPU  2 instructions:   21000000 cycles:   12516207 heartbeat IPC: 1.55035 cumulative IPC: 1.67782 (Simulation time: 0 hr 2 min 32 sec) 
Heartbeat CPU  1 instructions:   21000000 cycles:   12585996 heartbeat IPC: 1.64789 cumulative IPC: 1.66852 (Simulation time: 0 hr 2 min 33 sec) 
Heartbeat CPU  0 instructions:   26000002 cycles:   12609120 heartbeat IPC: 2.14154 cumulative IPC: 2.06200 (Simulation time: 0 hr 2 min 33 sec) 
Heartbeat CPU  3 instructions:   25000000 cycles:   12970273 heartbeat IPC: 1.95661 cumulative IPC: 1.92748 (Simulation time: 0 hr 2 min 37 sec) 
Heartbeat CPU  0 instructions:   27000000 cycles:   13079418 heartbeat IPC: 2.12631 cumulative IPC: 2.06431 (Simulation time: 0 hr 2 min 39 sec) 
Heartbeat CPU  2 instructions:   22000003 cycles:   13106761 heartbeat IPC: 1.69333 cumulative IPC: 1.67852 (Simulation time: 0 hr 2 min 39 sec) 
Heartbeat CPU  1 instructions:   22000002 cycles:   13215439 heartbeat IPC: 1.58871 cumulative IPC: 1.66472 (Simulation time: 0 hr 2 min 40 sec) 
Heartbeat CPU  3 instructions:   26000000 cycles:   13485057 heartbeat IPC: 1.94256 cumulative IPC: 1.92806 (Simulation time: 0 hr 2 min 44 sec) 
Heartbeat CPU  0 instructions:   28000000 cycles:   13556313 heartbeat IPC: 2.09690 cumulative IPC: 2.06546 (Simulation time: 0 hr 2 min 44 sec) 
Heartbeat CPU  2 instructions:   23000002 cycles:   13705629 heartbeat IPC: 1.66982 cumulative IPC: 1.67814 (Simulation time: 0 hr 2 min 46 sec) 
Heartbeat CPU  1 instructions:   23000001 cycles:   13833845 heartbeat IPC: 1.61706 cumulative IPC: 1.66259 (Simulation time: 0 hr 2 min 48 sec) 
Heartbeat CPU  3 instructions:   27000000 cycles:   14001348 heartbeat IPC: 1.93689 cumulative IPC: 1.92839 (Simulation time: 0 hr 2 min 50 sec) 
Heartbeat CPU  0 instructions:   29000000 cycles:   14109822 heartbeat IPC: 1.80666 cumulative IPC: 2.05531 (Simulation time: 0 hr 2 min 51 sec) 
Heartbeat CPU  2 instructions:   24000000 cycles:   14299257 heartbeat IPC: 1.68455 cumulative IPC: 1.67841 (Simulation time: 0 hr 2 min 53 sec) 
Heartbeat CPU  1 instructions:   24000000 cycles:   14441221 heartbeat IPC: 1.64643 cumulative IPC: 1.66191 (Simulation time: 0 hr 2 min 55 sec) 
Heartbeat CPU  3 instructions:   28000000 cycles:   14516793 heartbeat IPC: 1.94007 cumulative IPC: 1.92880 (Simulation time: 0 hr 2 min 56 sec) 
Heartbeat CPU  0 instructions:   30000000 cycles:   14664127 heartbeat IPC: 1.80406 cumulative IPC: 2.04581 (Simulation time: 0 hr 2 min 57 sec) 
Heartbeat CPU  2 instructions:   25000003 cycles:   14884822 heartbeat IPC: 1.70776 cumulative IPC: 1.67956 (Simulation time: 0 hr 3 min 0 sec) 
Heartbeat CPU  3 instructions:   29000003 cycles:   15031024 heartbeat IPC: 1.94466 cumulative IPC: 1.92934 (Simulation time: 0 hr 3 min 2 sec) 
Heartbeat CPU  1 instructions:   25000003 cycles:   15097613 heartbeat IPC: 1.52348 cumulative IPC: 1.65589 (Simulation time: 0 hr 3 min 2 sec) 
Heartbeat CPU  0 instructions:   31000001 cycles:   15223092 heartbeat IPC: 1.78902 cumulative IPC: 2.03638 (Simulation time: 0 hr 3 min 3 sec) 
Heartbeat CPU  3 instructions:   30000001 cycles:   15543511 heartbeat IPC: 1.95127 cumulative IPC: 1.93007 (Simulation time: 0 hr 3 min 7 sec) 
Heartbeat CPU  2 instructions:   26000000 cycles:   15600568 heartbeat IPC: 1.39714 cumulative IPC: 1.66661 (Simulation time: 0 hr 3 min 8 sec) 
Heartbeat CPU  1 instructions:   26000000 cycles:   15708304 heartbeat IPC: 1.63748 cumulative IPC: 1.65518 (Simulation time: 0 hr 3 min 9 sec) 
Heartbeat CPU  0 instructions:   32000000 cycles:   15783629 heartbeat IPC: 1.78400 cumulative IPC: 2.02742 (Simulation time: 0 hr 3 min 10 sec) 
Heartbeat CPU  3 instructions:   31000000 cycles:   16057297 heartbeat IPC: 1.94633 cumulative IPC: 1.93059 (Simulation time: 0 hr 3 min 13 sec) 
Heartbeat CPU  2 instructions:   27000003 cycles:   16207510 heartbeat IPC: 1.64761 cumulative IPC: 1.66589 (Simulation time: 0 hr 3 min 15 sec) 
Heartbeat CPU  1 instructions:   27000000 cycles:   16313108 heartbeat IPC: 1.65343 cumulative IPC: 1.65511 (Simulation time: 0 hr 3 min 16 sec) 
Heartbeat CPU  0 instructions:   33000000 cycles:   16331555 heartbeat IPC: 1.82506 cumulative IPC: 2.02063 (Simulation time: 0 hr 3 min 17 sec) 
Heartbeat CPU  3 instructions:   32000000 cycles:   16575102 heartbeat IPC: 1.93123 cumulative IPC: 1.93061 (Simulation time: 0 hr 3 min 19 sec) 
Heartbeat CPU  2 instructions:   28000000 cycles:   16803819 heartbeat IPC: 1.67698 cumulative IPC: 1.66629 (Simulation time: 0 hr 3 min 22 sec) 
Heartbeat CPU  0 instructions:   34000000 cycles:   16873106 heartbeat IPC: 1.84655 cumulative IPC: 2.01504 (Simulation time: 0 hr 3 min 23 sec) 
Heartbeat CPU  1 instructions:   28000000 cycles:   16913429 heartbeat IPC: 1.66578 cumulative IPC: 1.65549 (Simulation time: 0 hr 3 min 23 sec) 
Heartbeat CPU  3 instructions:   33000003 cycles:   17089516 heartbeat IPC: 1.94397 cumulative IPC: 1.93101 (Simulation time: 0 hr 3 min 25 sec) 
Heartbeat CPU  2 instructions:   29000001 cycles:   17346335 heartbeat IPC: 1.84327 cumulative IPC: 1.67182 (Simulation time: 0 hr 3 min 28 sec) 
Heartbeat CPU  0 instructions:   35000000 cycles:   17407176 heartbeat IPC: 1.87241 cumulative IPC: 2.01066 (Simulation time: 0 hr 3 min 29 sec) 
Heartbeat CPU  1 instructions:   29000001 cycles:   17521972 heartbeat IPC: 1.64327 cumulative IPC: 1.65506 (Simulation time: 0 hr 3 min 31 sec) 
Heartbeat CPU  3 instructions:   34000003 cycles:   17597684 heartbeat IPC: 1.96785 cumulative IPC: 1.93207 (Simulation time: 0 hr 3 min 31 sec) 
Heartbeat CPU  2 instructions:   30000000 cycles:   17852652 heartbeat IPC: 1.97505 cumulative IPC: 1.68042 (Simulation time: 0 hr 3 min 34 sec) 
Heartbeat CPU  0 instructions:   36000000 cycles:   17911080 heartbeat IPC: 1.98450 cumulative IPC: 2.00993 (Simulation time: 0 hr 3 min 35 sec) 
Heartbeat CPU  3 instructions:   35000002 cycles:   18108785 heartbeat IPC: 1.95656 cumulative IPC: 1.93276 (Simulation time: 0 hr 3 min 37 sec) 
Heartbeat CPU  1 instructions:   30000000 cycles:   18253345 heartbeat IPC: 1.36729 cumulative IPC: 1.64353 (Simulation time: 0 hr 3 min 39 sec) 
Heartbeat CPU  0 instructions:   37000000 cycles:   18370693 heartbeat IPC: 2.17574 cumulative IPC: 2.01408 (Simulation time: 0 hr 3 min 41 sec) 
Heartbeat CPU  2 instructions:   31000001 cycles:   18393185 heartbeat IPC: 1.85003 cumulative IPC: 1.68541 (Simulation time: 0 hr 3 min 41 sec) 
Heartbeat CPU  3 instructions:   36000000 cycles:   18623742 heartbeat IPC: 1.94191 cumulative IPC: 1.93302 (Simulation time: 0 hr 3 min 44 sec) 
Heartbeat CPU  0 instructions:   38000000 cycles:   18823509 heartbeat IPC: 2.20840 cumulative IPC: 2.01875 (Simulation time: 0 hr 3 min 47 sec) 
Heartbeat CPU  1 instructions:   31000002 cycles:   18871740 heartbeat IPC: 1.61709 cumulative IPC: 1.64267 (Simulation time: 0 hr 3 min 47 sec) 
Heartbeat CPU  2 instructions:   32000000 cycles:   19003583 heartbeat IPC: 1.63827 cumulative IPC: 1.68389 (Simulation time: 0 hr 3 min 49 sec) 
Heartbeat CPU  3 instructions:   37000001 cycles:   19140812 heartbeat IPC: 1.93398 cumulative IPC: 1.93304 (Simulation time: 0 hr 3 min 51 sec) 
Heartbeat CPU  0 instructions:   39000000 cycles:   19305638 heartbeat IPC: 2.07413 cumulative IPC: 2.02014 (Simulation time: 0 hr 3 min 53 sec) 
Heartbeat CPU  1 instructions:   32000000 cycles:   19490662 heartbeat IPC: 1.61571 cumulative IPC: 1.64181 (Simulation time: 0 hr 3 min 55 sec) 
Heartbeat CPU  2 instructions:   33000002 cycles:   19616284 heartbeat IPC: 1.63212 cumulative IPC: 1.68228 (Simulation time: 0 hr 3 min 56 sec) 
Heartbeat CPU  3 instructions:   38000002 cycles:   19657732 heartbeat IPC: 1.93454 cumulative IPC: 1.93308 (Simulation time: 0 hr 3 min 57 sec) 
Heartbeat CPU  0 instructions:   40000000 cycles:   19796392 heartbeat IPC: 2.03768 cumulative IPC: 2.02057 (Simulation time: 0 hr 3 min 59 sec) 
Heartbeat CPU  1 instructions:   33000000 cycles:   20031098 heartbeat IPC: 1.85036 cumulative IPC: 1.64744 (Simulation time: 0 hr 4 min 1 sec) 
Heartbeat CPU  3 instructions:   39000002 cycles:   20172391 heartbeat IPC: 1.94303 cumulative IPC: 1.93334 (Simulation time: 0 hr 4 min 3 sec) 
